,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,Joel Embiid,PHI,4,4,36.3,12.5,23.0,.543,0.8,4.5,.167,14.3,16.5,.864,2.0,9.0,11.0,5.3,0.8,2.8,5.0,3.8,40.0,32.0
1,2,Stephen Curry,GSW,5,5,36.3,12.2,20.0,.610,5.6,11.4,.491,5.2,5.8,.897,1.0,5.8,6.8,7.8,0.6,0.0,3.2,2.4,35.2,30.2
2,3,Luka Don?i?,DAL,6,6,37.1,10.5,21.5,.488,2.7,7.5,.356,8.3,11.7,.714,0.7,7.2,7.8,7.5,2.3,0.8,3.5,3.3,32.0,25.8
3,4,Jayson Tatum,BOS,7,7,38.4,10.1,22.1,.458,4.0,10.7,.373,9.3,10.9,.855,1.0,6.1,7.1,4.6,0.7,1.6,2.4,2.7,33.6,25.5
4,5,Kevin Durant,BRK,8,8,36.6,10.0,18.8,.533,1.8,4.4,.400,7.8,8.5,.912,0.3,8.0,8.3,6.5,0.9,1.8,3.1,2.5,29.5,25.2
5,6,Shai Gilgeous-Alexander,OKC,7,7,35.5,11.3,19.3,.585,0.7,2.0,.357,7.9,8.7,.902,0.6,3.4,4.0,4.7,1.9,1.7,3.6,2.7,31.1,24.9
6,7,Jimmy Butler,MIA,4,4,35.9,7.0,14.5,.483,0.8,2.8,.273,8.8,9.3,.946,2.0,4.8,6.8,7.8,2.3,0.3,1.8,2.0,23.5,24.1
7,8,Donovan Mitchell,CLE,5,5,39.2,11.4,21.4,.533,4.2,10.2,.412,4.0,4.4,.909,0.8,4.2,5.0,4.6,1.0,0.8,2.4,2.4,31.0,23.7
8,9,James Harden,PHI,2,2,36.3,8.0,17.5,.457,2.5,7.0,.357,5.0,6.0,.833,0.0,6.0,6.0,13.5,1.5,0.0,3.5,2.0,23.5,22.5
9,10,Anthony Davis,LAL,7,7,33.9,9.6,17.4,.549,0.3,0.7,.400,5.1,6.4,.800,4.1,7.4,11.6,2.9,0.6,1.7,1.6,3.4,24.6,21.6
10,11,Giannis Antetokounmpo,MIL,4,4,30.4,9.8,21.0,.464,0.5,3.3,.154,8.5,12.3,.694,2.0,8.0,10.0,4.8,1.8,1.3,3.5,3.0,28.5,21.3
11,12,Pascal Siakam,TOR,3,3,31.3,8.3,18.0,.463,1.0,3.3,.300,6.0,7.7,.783,2.7,7.0,9.7,7.7,0.7,0.7,1.7,3.0,23.7,21.3
12,13,Paul George,LAC,7,7,37.2,10.3,20.3,.507,3.6,8.9,.403,4.6,5.9,.780,0.1,5.3,5.4,4.9,1.6,0.9,3.6,2.7,28.7,20.7
13,14,Nikola Joki?,DEN,6,6,29.0,8.7,13.8,.627,0.7,1.5,.444,2.5,2.8,.882,0.8,6.7,7.5,9.5,1.7,0.7,3.8,2.7,20.5,20.6
14,15,Fred VanVleet,TOR,4,4,34.4,9.0,19.8,.456,5.3,11.5,.457,2.8,3.5,.786,0.0,3.3,3.3,5.5,2.0,0.8,1.8,2.0,26.0,20.3
15,16,Domantas Sabonis,SAC,7,7,34.3,7.3,13.3,.548,0.4,1.1,.375,5.4,7.6,.717,2.7,10.1,12.9,6.7,1.0,0.1,2.3,3.6,20.4,20.2
16,17,Kristaps Porzi??is,WAS,7,7,31.5,7.3,14.7,.495,2.6,6.4,.400,5.9,7.0,.837,1.9,6.1,8.0,2.7,1.0,1.6,1.4,2.7,23.0,19.8
17,18,Dejounte Murray,ATL,7,7,36.2,9.4,20.7,.455,1.9,6.6,.283,2.4,2.7,.895,1.1,5.0,6.1,8.6,2.1,0.3,2.4,2.0,23.1,19.7
18,19,De'Aaron Fox,SAC,6,6,30.7,8.8,16.2,.546,1.7,4.7,.357,4.3,5.2,.839,0.3,3.0,3.3,6.3,1.5,0.2,2.5,2.2,23.7,19.4
