,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,Joel Embiid,PHI,3,3,36.2,14.0,23.7,.592,0.7,4.7,.143,13.7,16.7,.820,0.3,11.0,11.3,5.3,1.0,3.3,5.7,4.3,42.3,33.4
1,2,Jimmy Butler,MIA,2,2,36.8,8.5,13.5,.630,0.5,1.5,.333,10.0,11.0,.909,2.5,6.0,8.5,8.0,1.5,0.0,1.0,2.0,27.5,29.9
2,3,Donovan Mitchell,CLE,2,2,38.1,13.0,24.0,.542,4.5,12.0,.375,3.0,3.0,1.000,1.5,6.0,7.5,6.5,1.5,0.5,3.0,1.5,33.5,27.6
3,4,Kevin Durant,BRK,3,3,35.6,9.3,17.0,.549,2.0,4.3,.462,8.3,9.7,.862,0.3,8.7,9.0,7.3,1.0,2.0,2.3,2.3,29.0,27.4
4,5,Jayson Tatum,BOS,3,3,36.6,11.7,23.0,.507,4.7,10.7,.438,8.0,9.3,.857,0.7,5.7,6.3,4.3,0.7,0.7,1.7,3.3,36.0,27.4
5,6,Jerami Grant,POR,2,2,40.5,11.5,21.0,.548,4.5,8.5,.529,4.5,5.5,.818,2.5,4.5,7.0,3.0,2.0,1.5,2.0,2.5,32.0,26.8
6,7,Stephen Curry,GSW,2,2,35.4,12.0,20.0,.600,4.5,10.0,.450,5.0,6.0,.833,0.0,5.0,5.0,4.5,1.0,0.0,3.0,2.0,33.5,25.8
7,8,Spencer Dinwiddie,DAL,3,3,35.9,9.0,15.7,.574,5.7,10.0,.567,3.7,4.0,.917,0.0,5.0,5.0,5.7,1.0,0.7,1.3,1.7,27.3,24.8
8,9,Jaylen Brown,BOS,2,2,32.4,11.0,17.0,.647,2.5,5.0,.500,3.0,3.5,.857,1.0,6.5,7.5,5.5,0.5,0.0,1.5,1.5,27.5,24.7
9,10,Shai Gilgeous-Alexander,OKC,3,3,36.8,11.3,20.3,.557,1.7,3.3,.500,7.7,9.0,.852,0.3,3.7,4.0,5.3,2.0,1.7,4.3,3.0,32.0,24.5
10,11,Kristaps Porzi??is,WAS,2,2,32.0,9.5,17.5,.543,5.0,9.0,.556,4.0,5.5,.727,2.0,6.0,8.0,2.0,1.5,2.0,1.5,2.0,28.0,24.2
11,12,Anthony Davis,LAL,3,3,34.4,10.7,19.3,.552,0.0,0.7,.000,6.0,7.3,.818,5.7,8.0,13.7,2.7,0.7,1.3,2.0,4.0,27.3,23.8
12,13,Domantas Sabonis,SAC,3,3,33.6,8.0,13.3,.600,0.7,1.0,.667,6.0,7.0,.857,3.0,9.3,12.3,6.7,1.3,0.0,2.0,3.0,22.7,23.8
13,14,LeBron James,LAL,1,1,32.4,12.0,22.0,.545,4.0,9.0,.444,2.0,4.0,.500,1.0,7.0,8.0,5.0,2.0,0.0,3.0,2.0,30.0,23.1
14,15,Luka Don?i?,DAL,3,3,37.4,10.0,24.0,.417,2.0,8.0,.250,7.3,11.3,.647,1.0,8.3,9.3,7.3,2.3,1.0,2.3,2.7,29.3,22.9
15,16,De'Aaron Fox,SAC,3,3,32.8,9.7,17.3,.558,1.7,4.3,.385,2.0,3.0,.667,0.3,4.0,4.3,9.3,2.7,0.3,2.0,2.0,23.0,22.4
16,17,Damian Lillard,POR,2,2,36.9,7.0,16.0,.438,4.0,9.5,.421,9.5,12.5,.760,1.5,5.0,6.5,9.5,0.5,0.0,5.5,1.5,27.5,21.5
17,18,Ja Morant,MEM,2,2,36.6,12.5,25.0,.500,2.0,7.5,.267,3.0,5.0,.600,1.5,6.0,7.5,6.5,1.5,0.0,3.5,2.5,30.0,21.1
18,19,Devin Booker,PHO,2,2,36.3,9.0,21.0,.429,3.5,7.5,.467,3.0,3.0,1.000,1.5,4.5,6.0,8.0,1.5,0.0,1.5,2.0,24.5,20.6
19,20,Zion Williamson,NOP,3,3,32.5,7.7,11.3,.676,0.3,0.3,1.000,9.0,11.7,.771,2.0,3.0,5.0,3.3,0.7,0.0,2.3,3.3,24.7,20.4
21,21,Desmond Bane,MEM,2,2,36.4,9.5,19.5,.487,3.5,8.5,.412,5.5,5.5,1.000,0.5,4.0,4.5,5.5,0.5,0.0,3.0,2.5,28.0,20.1
22,22,Jevon Carter,MIL,2,2,38.9,11.0,21.0,.524,5.0,8.5,.588,1.5,2.5,.600,0.5,2.5,3.0,9.0,1.0,0.0,4.5,4.0,28.5,20.1
23,23,Nikola Joki?,DEN,3,3,26.0,8.7,14.7,.591,1.0,2.3,.429,2.0,2.3,.857,1.3,4.7,6.0,7.7,1.7,0.3,1.7,3.0,20.3,20.1
24,24,Jakob Poeltl,SAS,2,2,33.3,8.5,11.5,.739,0.0,0.0,,1.5,4.0,.375,4.5,5.0,9.5,3.5,1.0,2.0,1.5,3.0,18.5,19.7
25,25,Jalen Green,HOU,2,2,39.3,9.5,17.0,.559,3.5,8.0,.438,4.5,5.0,.900,0.5,3.5,4.0,6.0,0.0,0.0,4.5,0.5,27.0,19.6
26,26,Josh Giddey,OKC,3,3,34.5,8.3,14.0,.595,1.0,2.7,.375,1.3,2.0,.667,3.0,8.3,11.3,7.7,0.7,0.0,3.7,1.7,19.0,18.6
27,27,Cameron Payne,PHO,2,2,35.0,8.0,16.0,.500,4.5,9.5,.474,2.0,2.0,1.000,0.5,4.0,4.5,6.0,1.0,0.0,2.0,2.0,22.5,18.5
28,28,Seth Curry,BRK,2,0,25.7,8.0,14.0,.571,5.0,9.5,.526,1.5,2.0,.750,0.5,2.5,3.0,2.5,0.5,0.0,0.5,1.5,22.5,18.0
29,29,Andrew Wiggins,GSW,2,2,35.5,9.0,15.5,.581,2.0,6.5,.308,3.0,3.5,.857,1.5,3.5,5.0,1.0,2.0,0.5,1.5,3.5,23.0,17.8
30,30,Tyrese Haliburton,IND,2,2,36.2,6.0,14.5,.414,2.5,8.5,.294,0.0,0.5,.000,0.5,3.0,3.5,13.5,2.5,0.5,2.0,1.0,14.5,17.7
31,31,Mikal Bridges,PHO,2,2,40.0,7.5,16.5,.455,2.0,6.0,.333,2.5,2.5,1.000,1.5,5.0,6.5,5.5,2.0,0.5,1.5,1.5,19.5,17.6
32,32,Julius Randle,NYK,3,3,32.5,7.3,15.7,.468,2.3,7.0,.333,6.3,8.0,.792,2.7,7.0,9.7,3.7,0.0,0.0,2.7,3.0,23.3,17.3
33,33,Jalen Brunson,NYK,3,3,29.1,5.7,13.0,.436,1.0,4.0,.250,6.7,6.7,1.000,0.3,1.7,2.0,5.3,2.3,0.0,1.3,1.7,19.0,17.0
34,34,Al Horford,BOS,2,2,30.4,6.5,9.0,.722,3.5,4.5,.778,0.5,1.5,.333,0.5,6.0,6.5,2.0,1.0,0.0,0.0,1.5,17.0,16.9
35,35,Clint Capela,ATL,3,3,28.6,7.0,10.7,.656,0.0,0.0,,1.7,2.7,.625,7.0,11.0,18.0,0.3,0.0,0.7,2.0,2.0,15.7,16.7
36,36,Bojan Bogdanovi?,DET,3,3,31.2,8.0,13.7,.585,1.3,5.3,.250,6.0,7.0,.857,0.0,4.3,4.3,2.7,0.3,0.0,2.7,2.0,23.3,16.6
37,37,Darius Garland,CLE,3,3,36.5,7.3,19.7,.373,4.0,8.0,.500,5.3,7.0,.762,0.7,1.0,1.7,7.3,1.3,0.0,2.0,3.0,24.0,16.5
38,38,Eugene Omoruyi,OKC,1,0,27.0,8.0,10.0,.800,5.0,6.0,.833,1.0,2.0,.500,0.0,3.0,3.0,1.0,1.0,0.0,2.0,5.0,22.0,16.4
39,39,Fred VanVleet,TOR,2,2,31.9,8.5,19.0,.447,5.0,11.5,.435,1.5,3.0,.500,0.0,2.5,2.5,3.5,3.0,0.5,2.0,3.0,23.5,16.4
40,40,DeMar DeRozan,CHI,2,2,31.2,10.0,18.5,.541,0.0,1.5,.000,4.5,6.0,.750,0.0,2.5,2.5,3.5,0.5,1.0,1.5,4.0,24.5,16.3
42,41,Rudy Gobert,MIN,3,3,32.7,6.0,8.7,.692,0.0,0.0,,6.3,8.0,.792,2.7,7.3,10.0,0.7,0.7,1.7,2.7,3.7,18.3,16.2
43,42,Myles Turner,IND,2,2,26.3,5.0,9.5,.526,1.0,3.5,.286,5.5,6.5,.846,2.0,8.5,10.5,1.0,0.5,2.5,0.5,4.5,16.5,16.1
44,43,Trae Young,ATL,3,3,35.5,8.3,22.3,.373,2.0,6.7,.300,6.3,7.3,.864,1.0,1.7,2.7,9.0,1.3,0.0,5.0,0.3,25.0,16.0
45,44,OG Anunoby,TOR,3,3,35.4,8.3,17.0,.490,2.0,6.0,.333,3.3,4.0,.833,1.3,4.7,6.0,1.7,2.0,1.3,2.7,2.7,22.0,15.9
46,45,Dejounte Murray,ATL,3,3,36.9,8.3,18.7,.446,0.7,4.3,.154,2.3,2.7,.875,1.3,4.3,5.7,6.7,1.3,0.3,1.7,2.0,19.7,15.8
47,46,D'Angelo Russell,MIN,3,3,31.7,6.3,11.7,.543,2.7,6.0,.444,2.7,3.3,.800,0.3,1.0,1.3,8.7,0.7,0.0,2.7,2.3,18.0,15.8
48,47,Brook Lopez,MIL,2,2,37.6,8.5,18.5,.459,2.0,6.5,.308,2.5,3.5,.714,2.5,5.5,8.0,1.5,1.0,3.5,3.0,2.0,21.5,15.7
49,48,Grayson Allen,MIL,1,1,35.0,5.0,8.0,.625,2.0,3.0,.667,6.0,6.0,1.000,1.0,2.0,3.0,6.0,0.0,1.0,3.0,5.0,18.0,15.6
50,49,Karl-Anthony Towns,MIN,3,3,30.2,6.0,10.7,.563,1.7,4.3,.385,4.0,4.7,.857,2.0,8.3,10.3,3.7,0.3,0.7,2.0,5.0,17.7,15.6
51,50,Bam Adebayo,MIA,2,2,35.8,8.5,16.5,.515,0.0,0.5,.000,4.0,4.5,.889,1.5,13.0,14.5,4.0,1.5,0.5,5.0,4.5,21.0,15.5
52,51,Aaron Gordon,DEN,3,3,30.3,5.0,8.0,.625,1.0,2.0,.500,5.0,7.0,.714,2.3,7.0,9.3,3.3,0.3,0.3,2.0,2.3,16.0,15.3
53,52,Bennedict Mathurin,IND,2,0,27.4,7.0,13.5,.519,4.5,6.5,.692,4.0,6.0,.667,1.5,3.5,5.0,1.5,0.5,0.0,2.5,2.5,22.5,15.2
54,53,Max Strus,MIA,2,2,39.0,7.5,15.5,.484,5.0,12.5,.400,1.5,1.5,1.000,0.0,2.5,2.5,1.5,1.5,0.0,0.5,3.5,21.5,15.1
55,54,Lonnie Walker IV,LAL,2,2,31.8,8.5,14.5,.586,3.0,4.5,.667,2.0,2.5,.800,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.5,22.0,15.1
56,55,Kyle Kuzma,WAS,3,3,36.3,8.7,19.3,.448,2.3,8.3,.280,3.0,3.7,.818,1.3,8.7,10.0,5.0,0.3,0.0,4.0,1.7,22.7,15.0
57,56,Anfernee Simons,POR,3,3,36.5,7.0,18.7,.375,4.0,11.0,.364,4.0,5.3,.750,0.3,4.0,4.3,4.7,0.7,0.0,1.0,1.3,22.0,15.0
