,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,Joel Embiid,PHI,4,4,36.3,12.5,23.0,.543,0.8,4.5,.167,14.3,16.5,.864,2.0,9.0,11.0,5.3,0.8,2.8,5.0,3.8,40.0,32.0
1,2,Stephen Curry,GSW,5,5,34.8,11.8,19.4,.608,5.4,10.8,.500,4.8,5.4,.889,0.4,4.8,5.2,6.2,0.6,0.0,2.4,2.0,33.8,28.2
2,3,Luka Don?i?,DAL,7,7,37.5,10.6,21.6,.490,2.6,7.1,.360,8.7,11.6,.753,0.9,7.4,8.3,7.1,2.4,0.7,3.4,3.3,32.4,26.4
3,4,Jayson Tatum,BOS,8,8,38.4,10.0,22.3,.449,3.6,10.5,.345,9.1,10.8,.849,1.0,6.5,7.5,4.1,1.0,1.8,2.3,2.6,32.8,25.0
4,5,Shai Gilgeous-Alexander,OKC,7,7,35.9,11.4,20.4,.559,1.0,2.1,.467,7.7,8.4,.915,0.7,3.3,4.0,5.0,1.7,1.6,3.4,2.7,31.6,24.8
5,6,Jimmy Butler,MIA,4,4,35.4,6.8,13.3,.509,0.5,1.5,.333,7.8,8.3,.939,2.3,6.3,8.5,7.5,2.5,0.3,1.0,2.5,21.8,24.4
6,7,Kevin Durant,BRK,7,7,35.2,9.4,18.1,.520,1.4,3.9,.370,7.6,8.4,.898,0.3,7.1,7.4,6.4,0.7,1.7,2.4,2.4,27.9,23.9
7,8,Donovan Mitchell,CLE,5,5,39.2,11.4,21.4,.533,4.2,10.2,.412,4.0,4.4,.909,0.8,4.2,5.0,4.6,1.0,0.8,2.4,2.4,31.0,23.7
8,9,Anthony Davis,LAL,7,7,33.9,9.6,17.4,.549,0.3,0.7,.400,5.1,6.4,.800,4.1,7.4,11.6,2.9,0.6,1.7,1.6,3.4,24.6,21.6
9,10,Domantas Sabonis,SAC,7,7,33.8,7.7,12.9,.600,0.4,1.0,.429,5.7,7.6,.755,2.3,9.3,11.6,6.7,1.0,0.3,2.3,3.3,21.6,21.6
10,11,De'Aaron Fox,SAC,6,6,33.2,9.3,17.5,.533,1.7,5.0,.333,4.3,5.5,.788,0.3,3.7,4.0,7.7,1.7,0.3,2.2,2.2,24.7,21.3
11,12,Tyler Herro,MIA,2,2,38.1,10.0,20.5,.488,3.0,8.0,.375,4.5,4.5,1.000,1.0,7.5,8.5,2.5,1.5,1.5,3.5,0.5,27.5,20.7
12,13,Nikola Joki?,DEN,6,6,29.0,8.7,13.8,.627,0.7,1.5,.444,2.5,2.8,.882,0.8,6.7,7.5,9.5,1.7,0.7,3.8,2.7,20.5,20.6
13,14,Tyrese Haliburton,IND,4,4,35.7,7.0,14.8,.475,3.5,8.8,.400,0.3,1.3,.200,0.8,4.3,5.0,12.3,2.3,0.3,1.8,1.5,17.8,20.3
14,15,Fred VanVleet,TOR,4,4,34.4,9.0,19.8,.456,5.3,11.5,.457,2.8,3.5,.786,0.0,3.3,3.3,5.5,2.0,0.8,1.8,2.0,26.0,20.3
15,16,Paolo Banchero,ORL,3,3,37.1,10.0,19.7,.508,0.7,3.7,.182,7.7,9.3,.821,0.3,9.7,10.0,3.7,1.0,0.7,3.7,3.0,28.3,20.2
16,17,James Harden,PHI,1,1,35.1,8.0,18.0,.444,3.0,8.0,.375,5.0,6.0,.833,0.0,5.0,5.0,10.0,1.0,0.0,3.0,2.0,24.0,19.9
17,18,Dejounte Murray,ATL,7,7,37.0,9.3,20.6,.451,1.7,6.6,.261,2.7,3.1,.864,1.1,5.6,6.7,8.0,2.1,0.3,2.0,1.9,23.0,19.8
18,19,Bradley Beal,WAS,2,2,33.1,9.5,17.5,.543,1.5,4.0,.375,4.0,4.5,.889,0.0,2.5,2.5,4.0,1.0,0.5,0.5,1.5,24.5,19.7
19,20,Jerami Grant,POR,7,7,36.6,8.9,16.7,.530,3.6,6.6,.543,4.9,6.1,.791,1.4,4.3,5.7,2.9,0.7,1.0,2.7,2.0,26.1,19.7
21,21,Myles Turner,IND,4,4,30.2,7.0,11.5,.609,1.8,4.0,.438,5.8,6.8,.852,2.0,8.0,10.0,1.0,0.3,2.8,1.3,4.3,21.5,19.6
22,22,Karl-Anthony Towns,MIN,6,6,32.7,7.5,12.8,.584,2.0,5.2,.387,3.8,4.3,.885,1.8,8.8,10.7,4.8,0.7,0.8,2.3,4.5,20.8,19.1
23,23,Zion Williamson,NOP,7,7,33.3,8.9,14.4,.614,0.4,0.9,.500,6.4,9.0,.714,1.9,3.6,5.4,4.1,0.7,0.1,2.9,3.3,24.6,18.9
24,24,Giannis Antetokounmpo,MIL,4,4,30.2,8.8,20.5,.427,0.5,3.0,.167,9.5,14.5,.655,1.8,8.5,10.3,5.3,2.0,0.8,4.5,3.3,27.5,18.8
25,25,Devin Booker,PHO,6,6,37.5,9.0,20.2,.446,2.5,6.2,.405,4.7,5.3,.875,1.3,4.5,5.8,5.7,1.5,0.7,2.8,2.7,25.2,18.7
26,26,Desmond Bane,MEM,6,6,34.1,8.3,17.0,.490,3.5,7.7,.457,5.0,5.2,.968,0.5,4.7,5.2,4.5,0.3,0.0,2.3,2.2,25.2,18.6
27,27,Pascal Siakam,TOR,2,2,29.4,8.5,16.5,.515,0.5,3.5,.143,2.5,3.5,.714,2.5,6.0,8.5,8.5,1.0,0.0,2.5,3.0,20.0,18.3
28,28,Jalen Green,HOU,6,6,35.2,9.3,17.3,.538,3.7,9.0,.407,3.7,4.5,.815,0.3,3.5,3.8,4.5,0.7,0.2,3.8,1.3,26.0,18.1
29,29,Jalen Brunson,NYK,8,8,31.8,7.6,15.0,.508,1.0,3.9,.258,5.0,5.3,.952,0.5,2.5,3.0,6.8,1.3,0.1,1.9,2.4,21.3,18.0
30,30,Jrue Holiday,MIL,4,4,30.3,8.3,16.0,.516,2.5,6.8,.370,1.3,1.3,1.000,2.0,4.8,6.8,7.3,1.0,0.3,3.3,0.8,20.3,17.9
31,31,Kristaps Porzi??is,WAS,6,6,31.0,6.8,14.3,.477,2.5,6.3,.395,5.3,6.7,.800,1.5,6.3,7.8,2.7,0.8,1.8,1.7,2.7,21.5,17.9
32,32,Darius Garland,CLE,6,6,38.1,7.7,19.0,.404,3.7,8.8,.415,5.0,6.3,.789,0.7,1.8,2.5,8.8,1.3,0.0,2.8,2.8,24.0,17.8
33,33,Paul George,LAC,8,8,36.6,8.9,18.4,.483,2.9,7.8,.371,5.8,7.0,.821,0.3,5.3,5.5,4.6,1.1,0.5,4.1,2.8,26.4,17.8
34,34,Damian Lillard,POR,4,4,37.0,6.5,16.0,.406,3.3,9.0,.361,7.8,9.8,.795,0.8,3.8,4.5,9.0,0.3,0.3,4.8,1.8,24.0,17.5
35,35,Ja Morant,MEM,7,7,33.5,9.7,22.7,.428,1.9,6.0,.310,4.6,6.7,.681,1.1,6.4,7.6,7.1,1.6,0.1,4.4,1.6,25.9,17.3
36,36,Jaylen Brown,BOS,7,7,37.1,9.6,19.1,.500,2.1,6.4,.333,4.1,4.9,.853,1.0,5.9,6.9,4.0,0.7,0.0,3.1,3.3,25.4,17.1
37,37,LeBron James,LAL,4,4,35.0,10.3,21.8,.471,1.3,6.3,.200,1.8,4.0,.438,1.3,7.5,8.8,6.3,0.5,0.8,2.3,2.0,23.5,17.0
38,38,DeMar DeRozan,CHI,6,6,33.3,7.3,14.3,.512,0.0,1.5,.000,7.5,8.5,.882,0.5,4.0,4.5,4.3,1.0,0.8,2.8,3.2,22.2,16.7
39,39,Spencer Dinwiddie,DAL,7,7,35.7,7.1,15.3,.467,3.7,8.6,.433,2.1,2.4,.882,0.6,3.6,4.1,5.7,1.6,0.3,1.9,2.1,20.1,16.7
40,40,Franz Wagner,ORL,6,6,34.5,9.0,15.8,.568,1.0,2.8,.353,3.5,4.0,.875,0.7,3.7,4.3,4.5,0.5,0.0,2.7,2.5,22.5,16.4
42,41,Trae Young,ATL,6,6,35.1,8.0,22.3,.358,2.0,6.8,.293,6.5,7.3,.886,0.8,2.2,3.0,8.8,1.3,0.2,3.8,0.8,24.5,16.4
43,42,Aaron Gordon,DEN,6,6,29.8,5.3,8.0,.667,1.0,2.0,.500,3.7,5.5,.667,2.2,5.2,7.3,3.3,1.0,0.3,1.0,1.5,15.3,16.2
44,43,Anfernee Simons,POR,6,6,35.8,7.8,18.8,.416,4.2,11.0,.379,4.3,5.2,.839,0.3,2.8,3.2,4.7,0.5,0.0,1.8,1.7,24.2,16.1
45,44,Bam Adebayo,MIA,6,6,34.5,8.3,15.8,.526,0.0,0.5,.000,4.3,5.0,.867,2.7,8.2,10.8,3.7,1.0,0.3,3.8,3.5,21.0,15.9
46,45,Clint Capela,ATL,7,7,28.3,6.4,10.4,.616,0.0,0.0,,1.4,2.4,.588,5.7,9.3,15.0,0.7,0.4,1.3,1.3,2.1,14.3,15.6
47,46,Lauri Markkanen,UTA,8,8,31.7,7.3,13.4,.542,2.0,5.1,.390,3.4,4.1,.818,2.0,5.6,7.6,1.8,0.3,1.0,2.0,2.0,19.9,15.6
48,47,OG Anunoby,TOR,8,8,35.4,7.9,16.8,.470,1.8,5.0,.350,3.1,3.8,.833,1.8,4.1,5.9,2.0,2.8,1.0,2.8,2.9,20.6,15.2
49,48,Julius Randle,NYK,8,8,33.4,7.0,14.8,.475,2.6,7.0,.375,5.4,6.6,.811,2.6,5.8,8.4,3.0,0.0,0.4,3.8,2.8,22.0,15.1
50,49,Russell Westbrook,LAL,7,0,28.9,6.4,14.0,.459,2.0,4.7,.424,3.6,4.0,.893,1.1,3.1,4.3,8.9,1.0,0.6,4.6,2.9,18.4,14.7
51,50,Rudy Gobert,MIN,4,4,32.2,5.3,8.0,.656,0.0,0.3,.000,5.0,6.5,.769,3.0,7.8,10.8,0.5,0.8,1.5,2.0,3.8,15.5,14.5
52,51,Alperen ?eng?n,HOU,6,6,27.0,6.0,10.2,.590,0.0,0.8,.000,5.0,6.2,.811,3.2,4.3,7.5,2.3,0.8,0.7,2.2,4.0,17.0,14.5
53,52,Al Horford,BOS,6,6,33.2,5.5,9.3,.589,2.2,4.3,.500,0.8,1.3,.625,1.2,6.7,7.8,2.7,0.8,0.8,0.5,1.8,14.0,14.3
54,53,Jamal Murray,DEN,6,6,30.7,7.3,16.0,.458,1.5,4.2,.360,2.3,2.8,.824,1.2,3.0,4.2,5.5,1.0,0.0,2.0,0.8,18.5,14.3
55,54,Jarrett Allen,CLE,6,6,32.4,6.5,11.5,.565,0.0,0.0,,3.0,3.7,.818,2.5,8.8,11.3,0.8,0.7,1.5,1.8,2.3,16.0,14.2
