,name,pos,status,injury,update,updated
1,Bogdan Bogdanovic,G,Out,knee,Bogdanovic is out with knee,Oct 18
3,Marcus Smart,G,Out,Right Ankle Inflammation,Marcus Smart (ankle) ruled out Wednesday,Nov 16
4,Danilo Gallinari,F,Out,knee,Gallinari is out with knee,Oct 17
5,Malcolm Brogdon,G,Out,Right Hamstring Tightness,Malcolm Brogdon (hamstring) officially out Wednesday	,Nov 16
6,Robert Williams III,C-F,Out,back,Williams III is out with back,Oct 17
8,Kyrie Irving,G,Out,suspension,Irving is out with suspension,Nov 3
9,T.J. Warren,F,Out,FOOT,Warren is out with foot,Oct 17
11,Gordon Hayward,F,Out,Shoulder,Hayward is out with shoulder,Nov 7
12,Dennis Smith Jr.,G,Out,ankle,Dennis Smith Jr. (ankle) out Wednesday.,Nov 16
13,Cody Martin,F,Out,Quad,Martin is out with quad,Nov 12
14,Mark Williams,C,Out,ankle,Mark Williams (ankle) out Wednesday.,Nov 16
16,Lonzo Ball,G,Out,Knee,Ball is out with knee,Oct 17
17,Coby White,G,Out,Contusion,White is out with quad,Nov 13
19,Ricky Rubio,G,Out,ACL,Rubio is out with knee,Oct 17
20,Jarrett Allen,C,Out,Ankle,Allen is out with ankle,Nov 16
21,Dylan Windler,G-F,Out,Ankle,Windler is out with ankle,Nov 9
22,Dean Wade,F-C,Out,knee,Dean Wade (knee) out Wednesday.,Nov 16
24,Spencer Dinwiddie,G,Questionable,Rest,Dinwiddie is questionable with rest,Nov 16
25,JaVale McGee,C-F,Out,Neck Strain,JaVale McGee (neck) ruled out Wednesday,Nov 16
26,Maxi Kleber,F,Out,Low Back Contusion,Maxi Kleber (back) ruled out Wednesday,Nov 16
27,Luka Doncic,F-G,Out,Injury Management,Luka Doncic (rest) ruled out Wednesday,Nov 16
29,Aaron Gordon,F,Out,Non-COVID Illness,Aaron Gordon (illness) ruled out Wednesday,Nov 17
30,Ish Smith,G,Out,Right Calf Strain,Ish Smith (calf) listed out Wednesday,Nov 17
31,Nikola Jokic,C,Out,covid protocols,Jokic is out with covid protocols,Nov 16
32,Collin Gillespie,G,Out,Leg,Gillespie is out with leg,Oct 17
34,Cory Joseph,G,Questionable,Hip Soreness,Joseph is questionable with hip,Nov 17
35,Isaiah Stewart,F-C,Out,toe,Stewart is out with toe,Nov 15
36,Cade Cunningham,G,Out,Left Shin Soreness ,Cunningham is out with shin,Nov 17
38,Andre Iguodala,G-F,Out,Injury Management,Iguodala is out with hip,Oct 27
39,Jonathan Kuminga,F,Out,Non-COVID Illness,Jonathan Kuminga (illness) listed out Wednesday,Nov 17
40,Patrick Baldwin Jr.,F,Out,Back,Baldwin Jr. is out with back,Nov 16
42,Bruno Fernando,F-C,Out,left knee soreness,Fernando is out with knee,Oct 26
43,Jae'Sean Tate,F,Out,Ankle,Tate is out with ankle,Nov 12
45,Daniel Theis,F-C,Out,sore right knee,Theis is out with knee,Oct 26
46,Chris Duarte,G,Out,Ankle,Duarte is out with ankle,Nov 7
48,Paul George,F,Questionable,Left Hand Contusion,George is questionable with hand,Nov 17
49,Kawhi Leonard,F,Questionable,Knee,Kawhi Leonard (knee) upgraded to questionable Thursday.,Nov 17
50,Luke Kennard,G,Out,Calf,Luke Kennard (calf) out Thursday and Saturday. ,Nov 17
52,Dennis Schroder,G,Out,finger,Dennis Schroder (finger) to miss 3-to-4 weeks following surgery.,Oct 17
53,LeBron James,F,Out,Left Adductor Strain,LeBron James (adductor) officially out Sunday,Nov 14
54,Thomas Bryant,C-F,Out,thumb,Thomas Bryant (thumb) to miss at least 3 weeks following surgery.,Oct 18
56,Danny Green,G,Out,Knee,Green is out with knee,Oct 17
57,Desmond Bane,G,Doubtful,toe,Bane is doubtful with toe,Nov 14
58,Ziaire Williams,F,Out,knee,Williams is out with knee,Oct 18
60,Udonis Haslem,F,Out,Personal,Haslem is out with personal,Nov 16
61,Victor Oladipo,G,Out, ,Oladipo is out with knee,Oct 26
62,Bam Adebayo,C-F,Out,Left Knee Contusion,Bam Adebayo (knee) listed out Wednesday,Nov 16
63,Tyler Herro,G,Out,ankle,Tyler Herro (ankle) out Monday.,Nov 14
64,Omer Yurtseven,C,Out,left ankle impingement,Yurtseven is out with ankle,Oct 26
66,Khris Middleton,F,Out,Wrist,Middleton is out with wrist,Oct 17
67,Joe Ingles,F-G,Out,ACL Surgery,Ingles is out with knee,Apr 18
68,Pat Connaughton,G,Out,calf,Pat Connaughton (calf) out Wednesday.,Nov 16
69,Jrue Holiday,G,Out,ankle,Jrue Holiday (ankle) out Wednesday.,Nov 16
70,Wesley Matthews,G,Out,Hamstring,Matthews is out with hamstring,Nov 16
71,Grayson Allen,G,Out,ankle,Grayson Allen (ankle) out Wednesday.,Nov 16
72,A.J. Green,G,Questionable,None,Green is questionable,Nov 16
74,Zion Williamson,F,Out,Right Foot Contusion,Zion Williamson (foot) ruled out Wednesday,Nov 16
75,Kira Lewis Jr.,G,Out,ACL,Lewis Jr. is out with knee,Oct 19
76,E.J. Liddell,F,Out,ACL recovery,Liddell is out with knee,Oct 23
78,Mitchell Robinson,C-F,Out,Knee,Robinson is out with knee,Nov 7
80,Darius Bazley,F,Out,Ankle,Bazley is out with ankle,Nov 16
81,Tre Mann,G,Out,Back,Mann is out with back,Nov 16
82,Chet Holmgren,C-F,Out for season,Out for season,Holmgren is out for season with foot,Oct 17
84,Gary Harris,G,Out,Knee,Harris is out with knee,Oct 19
85,Markelle Fultz,G,Out,Toe,Fultz is out with toe,Oct 17
86,Jonathan Isaac,F,Out,Hamstring,Isaac is out with hamstring,Oct 19
87,Wendell Carter Jr.,C-F,Out,foot,Wendell Carter Jr. (foot) out Wednesday.,Nov 16
88,Moritz Wagner,F-C,Out,Sprained ankle,Wagner is out with ankle,Oct 19
89,Cole Anthony,G,Out,Oblique,Anthony is out with oblique,Oct 28
90,Paolo Banchero,F,Out,Left Ankle Sprain,Paolo Banchero (ankle) ruled out Wednesday,Nov 16
92,James Harden,G,Out,Tendon Strain,Harden is out with foot,Nov 4
93,Furkan Korkmaz,G-F,Out,Knee,Furkan Korkmaz (knee) listed out for Sunday.,Nov 13
95,Jae Crowder,F,Out,Not with the team,Crowder is out with undisclosed ,Oct 25
96,Chris Paul,G,Out,Right Heel Soreness,Chris Paul (heel) officially out Wednesday,Nov 17
97,Landry Shamet,G,Out,Concussion,Shamet is out with concussion,Nov 16
98,Cameron Johnson,F,Out,Surgery,Johnson is out with knee,Nov 7
100,Justise Winslow,F-G,Questionable,Non-Covid Illness,Winslow is questionable with illness,Nov 17
101,Jusuf Nurkic,C,Questionable,Quad Contusion,Nurkic is questionable with quad,Nov 17
102,Gary Payton II,G,Out,core,Payton II is out with core,Oct 17
103,Keon Johnson,G,Questionable,Left Hip Pointer,Johnson is questionable with hip,Nov 17
104,Olivier Sarr,C,Out,Right wrist sprain,Sarr is out with wrist,Oct 23
106,Keegan Murray,F,Doubtful,Back,Keegan Murray (back) downgraded to doubtful Thursday.,Nov 17
108,Doug McDermott,F,Questionable,Calf,Doug McDermott (calf) questionable Thursday.,Nov 17
109,Zach Collins,F-C,Out,Fibula,Collins is out with leg,Nov 9
110,Keldon Johnson,F-G,Questionable,Ankle,Keldon Johnson (ankle) questionable Thursday. ,Nov 17
111,Romeo Langford,G-F,Out,Health and Safety Protocols,Langford is out with covid protocols,Nov 17
112,Blake Wesley,G,Out,MCL Sprain,Wesley is out with knee,Nov 4
113,Malaki Branham,F,Out,Left Ankle Sprain,Branham is out with ankle,Nov 17
115,Otto Porter Jr.,F,Out,Dislocated Toe,Porter Jr. is out with toe,Nov 16
116,Pascal Siakam,F,Out,Groin,Siakam is out with groin,Nov 7
117,Gary Trent Jr.,G-F,Out,hip,Gary Trent Jr. (hip) officially out Wednesday.,Nov 16
118,Precious Achiuwa,F,Out,ankle,Achiuwa is out with ankle,Nov 10
120,Rudy Gay,F-G,Out,Hand,Rudy Gay (hand) ruled out for Tuesday.,Nov 15
122,Delon Wright,G,Out,Hamstring,Delon Wright (hamstring) out at least three weeks,Oct 27
