,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,Luka Don?i?,DAL,13,13,37.1,11.6,23.4,.497,2.3,7.9,.291,8.8,11.5,.767,1.1,7.8,8.8,7.8,2.1,0.6,3.2,3.2,34.4,28.1
1,2,Stephen Curry,GSW,13,13,34.6,10.5,20.2,.523,5.0,11.5,.433,5.4,5.8,.921,0.7,5.9,6.6,6.4,1.1,0.1,2.5,2.0,31.5,25.9
2,3,Shai Gilgeous-Alexander,OKC,13,13,35.9,11.6,21.5,.539,1.1,2.8,.378,7.2,7.7,.940,0.8,3.5,4.4,5.8,2.1,1.5,3.4,2.5,31.5,25.4
3,4,Jayson Tatum,BOS,14,14,37.5,10.3,20.9,.491,3.5,9.5,.368,7.9,9.1,.866,0.8,6.6,7.4,3.9,0.9,1.4,2.4,2.2,31.9,24.8
4,5,Joel Embiid,PHI,10,10,35.2,10.8,20.1,.537,0.9,3.8,.237,9.8,11.8,.831,1.6,8.5,10.1,4.1,0.6,1.8,4.2,3.4,32.3,24.6
5,6,Kevin Durant,BRK,15,15,36.6,10.1,19.2,.524,1.6,4.5,.353,8.6,9.3,.921,0.4,6.1,6.5,5.3,0.9,1.9,3.2,2.5,30.3,24.4
6,7,Giannis Antetokounmpo,MIL,10,10,32.6,11.1,21.1,.526,0.8,3.3,.242,8.3,12.9,.643,1.8,10.0,11.8,5.2,1.1,1.3,3.8,3.2,31.3,24.0
7,8,Donovan Mitchell,CLE,11,11,39.1,11.2,21.8,.513,4.2,9.6,.434,5.1,5.8,.875,1.0,3.7,4.7,6.1,1.4,0.6,3.4,2.9,31.6,23.9
8,9,Nikola Joki?,DEN,13,13,31.1,7.9,13.1,.606,0.6,2.2,.286,4.3,4.9,.875,1.5,7.9,9.5,8.9,1.5,0.6,3.2,2.7,20.8,21.9
9,10,Anthony Davis,LAL,12,12,34.5,9.7,17.8,.542,0.3,1.3,.250,4.6,5.8,.786,3.6,7.6,11.2,2.5,1.3,1.8,1.6,3.1,24.3,21.5
10,11,Ja Morant,MEM,13,13,33.1,10.3,21.5,.480,2.1,5.2,.403,6.6,8.5,.782,1.2,4.9,6.2,6.8,1.2,0.3,3.9,1.8,29.3,21.5
11,12,Jimmy Butler,MIA,12,12,35.5,6.8,14.0,.482,0.9,2.4,.379,7.2,8.0,.896,2.2,4.9,7.1,6.2,1.8,0.3,1.4,1.6,21.6,21.4
12,13,James Harden,PHI,9,9,36.7,7.0,15.9,.441,2.2,6.7,.333,5.8,6.2,.929,0.6,6.4,7.0,10.0,1.1,0.7,2.9,2.0,22.0,20.7
13,14,Pascal Siakam,TOR,9,9,35.6,8.9,18.6,.479,1.4,4.2,.342,5.6,7.7,.725,1.8,7.6,9.3,7.7,0.9,0.6,2.7,3.1,24.8,20.7
14,15,Damian Lillard,POR,9,9,35.8,8.2,17.9,.460,3.7,9.7,.379,7.8,9.0,.864,1.0,3.7,4.7,6.6,0.6,0.3,4.2,1.6,27.9,20.5
15,16,Tyrese Haliburton,IND,12,12,34.1,7.3,15.0,.483,3.0,7.0,.429,3.0,3.5,.857,1.1,3.7,4.8,10.3,1.8,0.2,3.0,1.3,20.5,20.2
16,17,Kyrie Irving,BRK,8,8,38.7,9.8,21.5,.453,2.6,9.4,.280,4.8,5.1,.927,0.8,4.4,5.1,5.1,1.4,1.1,2.4,3.0,26.9,19.6
17,18,Devin Booker,PHO,13,13,36.8,9.5,20.0,.477,2.3,6.2,.375,5.2,6.0,.859,1.0,3.8,4.8,5.5,1.2,0.5,2.7,2.5,26.5,19.5
18,19,De'Aaron Fox,SAC,12,12,32.0,9.4,17.4,.541,1.8,5.1,.361,3.9,4.8,.810,0.6,4.4,5.0,6.3,1.3,0.5,3.0,2.8,24.6,19.4
19,20,Trae Young,ATL,13,13,35.1,8.5,22.4,.378,2.3,7.5,.309,7.7,8.5,.909,0.8,2.3,3.2,9.3,0.8,0.2,3.6,1.3,26.9,18.9
21,21,Dejounte Murray,ATL,14,14,36.6,8.6,19.1,.453,1.9,5.8,.321,2.4,2.7,.868,0.9,5.6,6.4,7.8,2.1,0.4,2.3,1.8,21.5,18.6
22,22,LeBron James,LAL,10,10,35.7,10.0,21.9,.457,1.7,7.1,.239,3.2,4.8,.667,1.8,7.0,8.8,6.9,1.1,0.7,3.4,2.0,24.9,18.5
23,23,Zion Williamson,NOP,11,11,32.2,9.0,15.9,.566,0.3,0.5,.500,5.3,7.4,.716,2.1,4.3,6.4,3.9,1.1,0.3,2.7,2.7,23.5,18.1
24,24,Domantas Sabonis,SAC,13,13,31.7,6.5,11.2,.575,0.2,1.1,.214,4.7,6.5,.726,2.5,8.5,11.0,6.3,0.9,0.5,2.3,3.9,17.8,18.0
25,25,Desmond Bane,MEM,12,12,33.5,8.3,17.8,.465,3.8,8.5,.451,4.3,4.8,.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7,17.9
26,26,DeMar DeRozan,CHI,14,14,33.8,8.1,16.0,.509,0.3,1.4,.200,7.3,8.2,.887,0.4,3.6,3.9,4.2,1.1,0.4,2.3,2.6,23.9,17.9
27,27,Karl-Anthony Towns,MIN,14,14,34.3,7.6,14.7,.515,2.1,5.6,.367,4.1,4.6,.891,1.9,7.4,9.3,5.2,0.6,0.6,2.9,3.9,21.3,17.6
28,28,Lauri Markkanen,UTA,16,16,32.8,7.9,15.2,.523,2.1,5.9,.347,3.3,4.0,.828,2.3,6.2,8.4,2.3,0.5,1.0,2.0,1.9,21.3,17.0
29,29,Bradley Beal,WAS,9,9,35.1,8.2,15.9,.517,1.4,4.4,.325,3.7,4.0,.917,0.7,2.9,3.6,5.7,0.9,0.8,2.7,2.0,21.6,16.9
30,30,Jaylen Brown,BOS,13,13,36.8,9.5,19.6,.482,2.3,6.8,.337,4.2,5.0,.831,0.9,5.8,6.8,3.5,0.9,0.5,3.1,2.9,25.4,16.9
