,Player,Team
0,Jayson Tatum,BOS
1,Stephen Curry,GSW
2,Kevin Durant,BKN
3,Shai Gilgeous-Alexander,OKC
4,Luka Doncic,DAL
5,Ja Morant,MEM
6,Trae Young,ATL
7,Devin Booker,PHO
8,Donovan Mitchell,CLE
9,DeMar DeRozan,CHI
10,Jaylen Brown,BOS
11,Paul George,LAC
12,Lauri Markkanen,UTH
13,Giannis Antetokounmpo,MIL
14,Anthony Edwards,MIN
15,Karl-Anthony Towns,MIN
16,Jalen Green,HOU
17,Joel Embiid,PHI
18,Julius Randle,NYK
19,Dejounte Murray,ATL
20,Tyrese Maxey,PHI
21,Keldon Johnson,SAS
22,Bojan Bogdanovic,DET
23,Jalen Brunson,NYK
24,Desmond Bane,MEM
25,De'Aaron Fox,SAC
26,Kristaps Porzingis,WAS
27,Kelly Oubre,CHA
28,OG Anunoby,TOR
29,Anthony Davis,LAL
30,Jordan Clarkson,UTH
31,Kevin Porter,HOU
32,CJ McCollum,NOR
33,Franz Wagner,ORL
34,Jerami Grant,POR
35,Kyle Kuzma,WAS
36,RJ Barrett,NYK
37,Jimmy Butler,MIA
38,Nikola Jokic,DEN
39,Anfernee Simons,POR
40,Tyrese Haliburton,IND
41,Bam Adebayo,MIA
42,Zion Williamson,NOR
43,Bennedict Mathurin,IND
44,Paolo Banchero,ORL
45,Andrew Wiggins,GSW
46,Damian Lillard,POR
47,LeBron James,LAL
48,Spencer Dinwiddie,DAL
49,Buddy Hield,IND
50,Zach LaVine,CHI
51,P.J. Washington,CHA
52,Jordan Poole,GSW
53,Cade Cunningham,DET
54,Nikola Vucevic,CHI
55,Saddiq Bey,DET
56,De'Andre Hunter,ATL
57,Domantas Sabonis,SAC
58,Gary Trent,TOR
59,Brook Lopez,MIL
60,Brandon Ingram,NOR
61,Wendell Carter,ORL
62,Mikal Bridges,PHO
63,Max Strus,MIA
64,Jaden Ivey,DET
65,Pascal Siakam,TOR
66,Michael Porter,DEN
67,Bradley Beal,WAS
68,Kevin Huerter,SAC
69,Devin Vassell,SAS
70,Jamal Murray,DEN
71,Kyrie Irving,BKN
72,Collin Sexton,UTH
73,D'Angelo Russell,MIN
74,Luguentz Dort,OKC
75,Evan Mobley,CLE
76,Kelly Olynyk,UTH
77,Fred VanVleet,TOR
78,Alperen Sengun,HOU
79,Scottie Barnes,TOR
80,Tobias Harris,PHI
81,Jonas Valanciunas,NOR
82,Kyle Lowry,MIA
83,Jakob Poeltl,SAS
84,Christian Wood,DAL
85,James Harden,PHI
86,Malik Beasley,UTH
87,Tyler Herro,MIA
88,Jrue Holiday,MIL
89,Russell Westbrook,LAL
90,Marcus Morris,LAC
91,Dillon Brooks,MEM
92,John Collins,ATL
93,Bol Bol,ORL
94,Aaron Gordon,DEN
95,Terry Rozier,CHA
96,Rudy Gobert,MIN
97,Bobby Portis,MIL
98,Lonnie Walker,LAL
99,Trey Murphy,NOR
100,Klay Thompson,GSW
101,Caris LeVert,CLE
