,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Precious Achiuwa,C,23,TOR,12,0,20.4,3.0,7.7,.391,0.4,2.3,.179,2.6,5.3,.484,.418,2.3,2.8,.848,2.0,5.0,7.0,1.3,0.2,0.6,1.3,1.6,8.8
1,2,Steven Adams,C,29,MEM,14,14,26.1,2.9,4.8,.612,0.0,0.0,,2.9,4.8,.612,.612,0.6,2.2,.290,5.0,5.9,10.9,2.6,0.7,1.1,2.3,2.9,6.5
2,3,Bam Adebayo,C,25,MIA,14,14,35.0,7.4,14.0,.531,0.0,0.4,.000,7.4,13.6,.545,.531,4.2,4.9,.855,2.4,6.7,9.1,3.4,1.2,0.8,3.6,3.4,19.1
3,4,Ochai Agbaji,SG,22,UTA,6,0,11.2,1.3,3.2,.421,0.0,1.0,.000,1.3,2.2,.615,.421,0.7,1.2,.571,0.7,1.0,1.7,0.2,0.0,0.0,0.0,1.0,3.3
4,5,Santi Aldama,PF,22,MEM,15,14,27.5,3.7,8.0,.467,1.2,3.6,.333,2.5,4.4,.576,.542,1.0,1.6,.625,1.8,4.5,6.3,0.9,0.9,1.1,0.7,2.8,9.7
5,6,Nickeil Alexander-Walker,SG,24,UTA,9,0,7.8,1.0,3.0,.333,0.4,1.4,.308,0.6,1.6,.357,.407,0.4,0.6,.800,0.0,0.7,0.7,1.1,0.6,0.3,0.6,1.2,2.9
6,7,Grayson Allen,SG,27,MIL,12,11,25.4,2.9,7.1,.412,1.9,4.5,.426,1.0,2.6,.387,.547,2.3,2.5,.933,0.8,1.9,2.7,2.5,0.8,0.3,1.6,1.6,10.1
7,8,Jarrett Allen,C,24,CLE,12,12,32.5,5.8,10.3,.556,0.0,0.2,.000,5.8,10.2,.566,.556,2.5,3.3,.769,3.5,8.0,11.5,1.2,0.4,1.3,1.4,2.3,14.0
8,9,Jose Alvarado,PG,24,NOP,14,2,19.0,3.1,6.6,.467,1.4,3.5,.408,1.6,3.1,.535,.576,0.4,0.6,.667,0.4,1.7,2.1,3.0,0.9,0.2,1.3,2.1,8.0
9,10,Kyle Anderson,PF,29,MIN,10,2,19.3,2.2,4.0,.550,0.6,1.3,.462,1.6,2.7,.593,.625,1.1,1.3,.846,0.4,2.5,2.9,2.9,0.8,0.5,0.8,1.2,6.1
