,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,Joel Embiid,PHI,3,3,36.2,14.0,23.7,.592,0.7,4.7,.143,13.7,16.7,.820,0.3,11.0,11.3,5.3,1.0,3.3,5.7,4.3,42.3,33.4
1,2,Anthony Davis,LAL,2,2,33.9,11.5,21.0,.548,0.0,0.5,.000,7.5,9.0,.833,8.0,8.0,16.0,2.5,1.0,1.5,1.5,3.5,30.5,28.7
2,3,Donovan Mitchell,CLE,1,1,37.3,10.0,20.0,.500,3.0,10.0,.300,6.0,6.0,1.000,0.0,10.0,10.0,9.0,2.0,1.0,3.0,0.0,29.0,28.0
3,4,Luka Don?i?,DAL,3,3,38.9,10.7,21.7,.492,2.0,6.0,.333,9.7,12.7,.763,1.7,9.3,11.0,7.0,2.3,0.3,3.3,2.7,33.0,27.9
4,5,Jimmy Butler,MIA,3,3,36.1,7.3,13.0,.564,0.7,1.7,.400,8.3,9.0,.926,3.0,7.0,10.0,7.7,1.3,0.3,0.7,2.3,23.7,26.8
5,6,Jayson Tatum,BOS,3,3,38.8,11.3,24.0,.472,3.3,10.0,.333,8.7,10.3,.839,1.0,8.3,9.3,3.0,1.3,1.3,1.7,2.7,34.7,26.6
6,7,Shai Gilgeous-Alexander,OKC,3,3,33.4,11.3,20.7,.548,1.7,3.0,.556,7.0,7.7,.913,0.3,3.7,4.0,6.7,2.7,1.3,4.3,2.0,31.3,25.6
7,8,Jerami Grant,POR,3,3,39.4,10.7,19.0,.561,5.0,8.3,.600,4.7,6.3,.737,2.3,5.0,7.3,2.3,1.7,1.0,2.0,2.0,31.0,25.6
8,9,Darius Garland,CLE,2,2,37.9,10.5,25.0,.420,5.5,10.0,.550,6.5,8.5,.765,1.0,1.5,2.5,7.0,2.0,0.0,1.0,3.0,33.0,24.8
9,10,Kevin Durant,BRK,3,3,34.3,8.7,15.7,.553,1.7,3.0,.556,9.3,10.0,.933,0.0,6.3,6.3,5.3,0.7,1.7,2.7,2.7,28.3,24.3
10,11,Kristaps Porzi??is,WAS,2,2,32.0,9.5,17.5,.543,5.0,9.0,.556,4.0,5.5,.727,2.0,6.0,8.0,2.0,1.5,2.0,1.5,2.0,28.0,24.2
11,12,Ja Morant,MEM,2,2,34.9,12.0,26.0,.462,2.0,8.0,.250,6.0,9.0,.667,3.0,6.0,9.0,6.0,2.5,0.0,3.5,2.5,32.0,23.5
12,13,Zion Williamson,NOP,2,2,33.4,8.5,11.5,.739,0.5,0.5,1.000,10.0,13.5,.741,1.0,4.0,5.0,4.5,1.0,0.0,3.0,3.5,27.5,23.1
13,14,Domantas Sabonis,SAC,3,3,31.1,8.3,12.7,.658,0.7,0.7,1.000,4.0,4.7,.857,3.0,10.0,13.0,7.0,0.7,0.3,2.7,3.3,21.3,22.4
14,15,Stephen Curry,GSW,3,3,32.6,9.7,17.0,.569,4.0,9.0,.444,4.3,5.0,.867,0.3,4.7,5.0,4.7,1.0,0.0,2.3,1.7,27.7,22.3
15,16,De'Aaron Fox,SAC,3,3,31.2,9.3,16.7,.560,1.7,4.7,.357,2.3,4.0,.583,0.3,4.7,5.0,9.7,2.0,0.7,2.3,2.0,22.7,21.8
16,17,Jalen Green,HOU,2,2,36.8,10.5,19.5,.538,4.0,9.0,.444,4.0,4.0,1.000,0.0,4.0,4.0,6.5,0.5,0.0,4.0,0.0,29.0,21.8
17,18,Jalen Brunson,NYK,3,3,30.2,7.7,15.0,.511,1.0,3.7,.273,6.3,6.3,1.000,0.3,1.3,1.7,7.3,3.3,0.0,1.7,3.3,22.7,21.3
18,19,Spencer Dinwiddie,DAL,3,3,37.0,8.0,14.3,.558,5.0,9.3,.536,2.0,2.3,.857,0.3,4.3,4.7,6.0,1.0,0.3,1.7,1.7,23.0,20.7
19,20,Damian Lillard,POR,2,2,38.6,7.0,18.0,.389,2.0,8.0,.250,9.5,11.0,.864,1.0,3.5,4.5,11.5,0.5,0.5,4.5,1.5,25.5,20.7
21,21,Nikola Joki?,DEN,2,2,28.7,8.0,12.0,.667,1.0,2.0,.500,1.5,2.0,.750,1.5,5.5,7.0,8.5,1.5,0.0,2.0,2.0,18.5,20.5
22,22,Jaylen Brown,BOS,2,2,37.9,11.0,18.0,.611,1.5,4.5,.333,2.0,3.0,.667,0.0,7.0,7.0,7.0,1.0,0.0,4.0,3.5,25.5,19.5
